name;level;type;ritual;casting_time;casting_time_comment;range;components;components_comment;duration;duration_comment;discription
Antimagic Field;8;abjuration;-; 1  action;-;self;V,S,M;(a pinch of powdered iron oriron filings;1 hour;-;A  10-foot-radius invisible sphere of antimagic surrounds A  10-foot-radius invisible sphere of antimagic surrounds you. This area is divorced from the magical energy that suffuses the multiverse. Within the sphere, spells cant be cast, sum m oned creatures disappear, and even m agic items becom e mundane. Until the spell ends, the sphere m oves with you, centered on you.Spells and other magical effects, except those created by an artifact or a deity, are suppressed in the sphere and cant protrude into it. A slot expended to cast a suppressed spell is consum ed. W hile an effect is suppressed, it doesnt function, but the time it spends suppressed counts against its duration.Targeted Effects. Spells and other magical effects, such as magic missile and charm person, that target a creature or an object in the sphere have no effect on that target.Areas of Magic. The area of another spell or magical effect, such as fireball, cant extend into the sphere.If the sphere overlaps an area of magic, the part of the area that is covered by the sphere is suppressed.For example, the flames created by a wall o f fire are suppressed within the sphere, creating a gap in the wall if the overlap is large enough.Spells. Any active spell or other magical effect on a creature or an object in the sphere is suppressed while the creature or object is in it.Magic Items. The properties and powers of m agic items are suppressed in the sphere. For example, a + 1 longsword in the sphere functions as a nonm agical longsword.A m agic w eapons properties and powers are suppressed if it is used against a target in the sphere or wielded by an attacker in the sphere. If a magic weapon or a piece of magic ammunition fully leaves the sphere (for example, if you fire a m agic arrow or throw a magic spear at a target outside the sphere), the m agic of the item ceases to be suppressed as soon as it exits.Magical Travel. Teleportation and planar travel fail to work in the sphere, whether the sphere is the destination or the departure point for such magical travel. A portal to another location, world, or plane of existence, as well as an opening to an extradimensional space such as that created by the rope trick spell, temporarily closes while in the sphere.Creatures and Objects. A creature or object sum m oned or created by m agic temporarily winks out of existence in the sphere. Such a creature instantly reappears once the space the creature occupied is no longer within the sphere.Dispel Magic. Spells and magical effects such as dispel magic have no effect on the sphere. Likewise, the spheres created by different antimagic field spells dont nullify each other.
Antipathy/Sympathy;8;enchantment;-;1 hour;-;60 feet;V,S,M;(either a lump of alum soaked invinegar for the antipathy effect or a drop of honey forthe sympathy effect;10 days;-;This spell attracts or repels creatures of your choice. This spell attracts or repels creatures of your choice. You target som ething within range, either a Huge or smaller object or creature or an area that is no larger than a 200-foot cube. Then specify a kind of intelligent creature, such as red dragons, goblins, or vampires.You invest the target with an aura that either attracts or repels the specified creatures for the duration. Choose antipathy or sympathy as the auras effect.Antipathy. The enchantment causes creatures of the kind you designated to feel an intense urge to leave the area and avoid the target. W hen such a creature can see the target or com es within 60 feet of it, the creature must succeed on a W isdom  saving throw or becom e frightened. The creature remains frightened while it can see the target or is within 60 feet of it. W hile frightened by the target, the creature must use its movement tomove to the nearest safe spot from  which it cant see the target. If the creature m oves m ore than 60 feet from the target and cant see it, the creature is no longer frightened, but the creature becom es frightened again if it regains sight of the target or m oves within 60 feet o f it.Sympathy. The enchantment causes the specified creatures to feel an intense urge to approach the target while within 60 feet o f it or able to see it. W hen such a creature can see the target or com es within 60 feet of it, the creature must succeed on a W isdom  saving throw or use its movement on each o f its turns to enter the area or move within reach of the target. W hen the creature has done so, it cant willingly move away from  the target.If the target dam ages or otherwise harms an affected creature, the affected creature can make a W isdom  saving throw to end the effect, as described below.Ending the Effect. If an affected creature ends its turn while not within 60 feet of the target or able to see it, the creature makes a W isdom  saving throw. On a successful save, the creature is no longer affected by the target and recognizes the feeling o f repugnance or attraction as magical. In addition, a creature affected by the spell is allowed another W isdom  saving throw every 24 hours while the spell persists.A creature that successfully saves against this effect is immune to it for 1  minute, after which time it can be affected again.
Arcane Eye;4;divination;-; 1  action ;-;30 feet;V,S,M;(a bit of bat fur;1 hour;-;You create an invisible, magical eye within range that You create an invisible, magical eye within range that hovers in the air for the duration.You mentally receive visual information from the eye, which has normal vision and darkvision out to 30 feet. The eye can look in every direction.As an action, you can move the eye up to 30 feet in any direction. There is no limit to how far away from you the eye can move, but it cant enter another plane o f existence. A solid barrier blocks the eyes movement, but the eye can pass through an opening as small as  1 inch in diameter.
Arcane Gate;6;conjuration;-; 1  action ;-;500 feet;V,S;-;concentration; up to  10 minutes;You create linked teleportation portals that remain open You create linked teleportation portals that remain open for the duration. C hoose two points on the ground that you can see, one point within  10 feet of you and one point within 500 feet of you. A circular portal,  10 feet in diameter, opens over each point. If the portal would open in the space occupied by a creature, the spell fails, and the casting is lost.The portals are two-dimensional glowing rings filled with mist, hovering inches from the ground andperpendicular to it at the points you choose. A ring is visible only from one side (your choice), which is the side that functions as a portal.Any creature or object entering the portal exits from the other portal as if the two were adjacent to each other passing through a portal from  the nonportal side has no effect. The mist that fills each portal is opaque and blocks vision through it. On your turn, you can rotate the rings as a bonus action so that the active side faces in a different direction.
Arcane Lock;2;abjuration;-; 1  action ;-;touch;V,S,M;(gold dust w orth at least 25 gp,which the spell consum es;Until dispelled or triggered;-;You touch a closed door, window, gate, chest, or other You touch a closed door, window, gate, chest, or other entryway, and it becom es locked for the duration. You and the creatures you designate when you cast this spell can open the object normally. You can also set a password that, when spoken within 5 feet of the object, suppresses this spell for 1  minute. Otherwise, it is im passable until it is broken or the spell is dispelled or suppressed. Casting knock on the object suppresses arcane lock for 10 minutes.W hile affected by this spell, the object is m ore difficult to break or force open the DC to break it or pick any locks on it increases by 10.
Armor of Agathys;1;abjuration;-; 1  action ;-;self;V,S,M;(a cup of water;1 hour;-;A protective m agical force surrounds you, manifesting A protective m agical force surrounds you, manifesting as a spectral frost that covers you and your gear.You gain 5 temporary hit points for the duration. If a creature hits you with a melee attack while you have these hit points, the creature takes 5 cold damage.A t Higher Levels. W hen you cast this spell using a spell slot of 2nd level or higher, both the temporary hit points and the cold damage increase by 5 for each slot level above  1st.
Arms of Hadar;1;conjuration;-; 1  action ;-;self;V,S;-;instant;-;You invoke the power o f Hadar, the Dark Hunger. You invoke the power o f Hadar, the Dark Hunger. Tendrils of dark energy erupt from you and batter all creatures within  10 feet of you. Each creature in that area must make a Strength saving throw. On a failed save, a target takes 2d6 necrotic damage and cant take reactions until its next turn. On a successful save, the creature takes half damage, but suffers no other effect.A t Higher Levels. W hen you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above  1st.
Astral Projection;9;necromancy;-;1 hour;-; 10 feet;V,S,M;(for each creature you affect withthis spell, you must provide one jacinth worth at least1,000at least 100 gp, all of which the spell consum es)gp and one ornately carved bar of silver wort;special;-;You and up to eight willing creatures within range You and up to eight willing creatures within range project your astral bodies into the Astral Plane (the spell fails and the casting is wasted if you are already on that plane). The material body you leave behind is unconscious and in a state of suspended animation it doesnt need food or air and doesnt age.Your astral body resem bles your m ortal form in almost every way, replicating your game statistics and possessions. The principal difference is the addition of a silvery cord that extends from between your shoulder blades and trails behind you, fading to invisibility after1  foot. This cord is your tether to your material body. As long as the tether remains intact, you can find your way home. If the cord is cutsom ething that can happen only when an effect specifically states that it doesyour soul and body are separated, killing you instantly.Your astral form can freely travel through the Astral Plane and can pass through portals there leading to any other plane. If you enter a new plane or return to the plane you were on when casting this spell, your body and possessions are transported along the silver cord, allowing you to re-enter your body as you enter the new plane.Your astral form is a separate incarnation. Any damage or other effects that apply to it have no effect on your physical body, nor do they persist when you return to it.The spell ends for you and your com panions when you use your action to dismiss it. W hen the spell ends, the affected creature returns to its physical body, and it awakens.The spell might also end early for you or one o f your com panions. A successful dispel magic spell used against an astral or physical body ends the spell for that creature. If a creatures original body or its astral form drops to 0 hit points, the spell ends for that creature. If the spell ends and the silver cord is intact, the cord pulls the creatures astral form back to its body, ending its state of suspended animation.If you are returned to your body prematurely, your com panions remain in their astral form s and must find their own way back to their bodies, usually by dropping to 0 hit points.
Augury;2;divination;True;1 minute;-;self;V,S,M;(specially marked sticks, bones,or similar tokens w orth at least 25 gp;instant;-;By casting gem-inlaid sticks, rolling dragon bones, laying out ornate cards, or employing som e other divining tool, you receive an om en from an otherworldly entity about the results of a specific course of action that you plan to take within the next 30 minutes. The DM chooses from  the following possible omens:•  Weal, for good results•  Woe, for bad results•  Weal and woe, for both good and bad results•  Nothing, for results that arent especially good or badThe spell doesnt take into account any possible circum stances that might change the outcome, such as the casting of additional spells or the loss or gain of a companion.If you cast the spell two or m ore times before com pleting your next long rest, there is a cumulative 25 percent chance for each casting after the first that you get a random reading. The DM m akes this roll in secret.
Aura  of  Life;4;abjuration;-; 1  action ;-;self;V;-;concentration; up to  10 minutes;Life-preserving energy radiates from you in an aura with Life-preserving energy radiates from you in an aura with a 30-foot radius. Until the spell ends, the aura m oves with you, centered on you. Each nonhostile creature in the aura (including you) has resistance to necrotic damage, and its hit point maximum cant be reduced. In addition, a nonhostile, living creature regains  1  hit point when it starts its turn in the aura with 0 hit points.
Aura of Purity;4;abjuration;-; 1 action ;-;self;V;-;concentration; up to 10 minutes;Purifying energy radiates from  you in an aura with a Purifying energy radiates from  you in an aura with a 30-foot radius. Until the spell ends, the aura moves with you, centered on you. Each nonhostile creature in the aura (including you) cant becom e diseased, has resistance to poison damage, and has advantage on saving throws against effects that cause any of the following conditions: blinded, charmed, deafened, frightened, paralyzed, poisoned, and stunned.
Aura of Vitality;3;evocation;-;1  action ;-;self;V;-;1 minutes;-;Healing energy radiates from  you in an aura with a Healing energy radiates from  you in an aura with a 30-foot radius. Until the spell ends, the aura m oves with you, centered on you. You can use a bonus action to cause one creature in the aura (including you) to regain 2d6 hit points.
Awaken;5;transmutation;-;8 hours;-;touch;V,S,M;(an agate worth at least  1,000 gp,which the spell consum es;instant;-;After spending the casting time tracing magical After spending the casting time tracing magical pathways within a precious gemstone, you touch a Huge or smaller beast or plant. The target must have either no Intelligence score or an Intelligence of 3 or less. The target gains an Intelligence of 10. The target also gains the ability to speak one language you know. If the target is a plant, it gains the ability to move its limbs, roots, vines, creepers, and so forth, and it gains senses similar to a humans. Your DM chooses statistics appropriate for the awakened plant, such as the statistics for the awakened shrub or the awakened tree.The awakened beast or plant is charm ed by you for 30 days or until you or your com panions do anything harmful to it. W hen the charm ed condition ends, the awakened creature chooses whether to remain friendly to you, based on how you treated it while it w as charmed.
Bane;1;enchantment;-; 1  action ;-;30 feet;V,S,M;(a drop of blood;1 minutes;-;Up to three creatures of your choice that you can see Up to three creatures of your choice that you can see within range must make Charisma saving throws. W henever a target that fails this saving throw makes an attack roll or a saving throw before the spell ends, the target must roll a d4 and subtract the number rolled from the attack roll or saving throw.At Higher Levels. When you cast this spell using a spell slot o f 2nd level or higher, you can target one additional creature for each slot level above  1st.
Banishing Smite;5;abjuration;-;1 bonus action;-;self;V;-;1 minutes;-;The next time you hit a creature with a w eapon attack The next time you hit a creature with a w eapon attack before this spell ends, your w eapon crackles with force, and the attack deals an extra 5d10 force damage to the target. Additionally, if this attack reduces the target to 50 hit points or fewer, you banish it. If the target is native to a different plane of existence than the one youre on, the target disappears, returning to its home plane. If the target is native to the plane youre on, the creature vanishes into a harm less demiplane. W hile there, the target is incapacitated. It remains there until the spell ends, at which point the target reappears in the space it left or in the nearest unoccupied space if that space is occupied.
Banishment;4;abjuration;-; 1  action ;-;60 feet;V,S,M;(an item distasteful to the target;1 minutes;-;You attempt to send one creature that you can see You attempt to send one creature that you can see within range to another plane of existence. The target must succeed on a Charisma saving throw or be banished.If the target is native to the plane o f existence youre on, you banish the target to a harm less demiplane.W hile there, the target is incapacitated. The target remains there until the spell ends, at which point the target reappears in the space it left or in the nearest unoccupied space if that space is occupied.If the target is native to a different plane of existence than the one youre on, the target is banished with a faint popping noise, returning to its hom e plane.If the spell ends before  1  minute has passed, the target reappears in the space it left or in the nearest unoccupied space if that space is occupied. Otherwise, the target doesnt return.A t Higher Levels. W hen you cast this spell using a spell slot of 5th level or higher, you can target one additional creature for each slot level above 4th.
Barkskin;2;transmutation;-; 1  action ;-;touch;V,S,M;(a handful of oak bark;1 hour;-;You touch a willing creature. Until the spell ends, the You touch a willing creature. Until the spell ends, the targets skin has a rough, bark-like appearance, and the targets AC cant be less than  16, regardless of what kind of armor it is wearing.
Beacon of Hope;3;abjuration;-; 1  action ;-;30 feet;V,S;-;1 minutes;-;This spell bestow s hope and vitality. C hoose any This spell bestow s hope and vitality. C hoose any number of creatures within range. For the duration, each target has advantage on W isdom  saving throws and death saving throws, and regains the maximum num ber of hit points possible from any healing.
Beast Sense;2;divination;True; 1  action ;-;touch;S;-;1 hour;-;You touch a willing beast. For the duration of the spell, You touch a willing beast. For the duration of the spell, you can use your action to see through the beasts eyes and hear what it hears, and continue to do so until you use your action to return to your normal senses.W hile perceiving through the beasts senses, you gain the benefits of any special senses possessed by that creature, though you are blinded and deafened to your own surroundings.
Bestow Curse;3;necromancy;-;1  action ;-;touch;V,S;-;1 minutes;-;You touch a creature, and that creature must succeed You touch a creature, and that creature must succeed on a W isdom  saving throw or becom e cursed for the duration of the spell. W hen you cast this spell, choose the nature of the curse from the following options:•  C hoose one ability score. W hile cursed, the target has disadvantage on ability checks and saving throws made with that ability score.•  W hile cursed, the target has disadvantage on attack rolls against you.•  W hile cursed, the target must make a W isdom  sav­ing throw at the start o f each o f its turns. If it fails, it wastes its action that turn doing nothing.•  W hile the target is cursed, your attacks and spells deal an extra 1d8 necrotic damage to the target.A remove curse spell ends this effect. At the DM s option, you may choose an alternative curse effect, but it should be no m ore powerful than those described above. The DM has final say on such a curses effect.At Higher Levels. If you cast this spell using a spell slot of 4th level or higher, the duration is concentration, up to  10 minutes. If you use a spell slot of 5th level or higher, the duration is 8 hours. If you use a spell slot of 7th level or higher, the duration is 24 hours. If you use a 9th level spell slot, the spell lasts until it is dispelled. Using a spell slot of 5th level or higher grants a duration that doesnt require concentration.
Bigbys Hand;5;evocation;-; 1  action ;-; 120 feet;V,S,M;(an eggshell and asnakeskin glove;1 minutes;-;You create a Large hand of shimmering, translucent You create a Large hand of shimmering, translucent force in an unoccupied space that you can see within range. The hand lasts for the spells duration, and it m oves at your command, m im icking the movements of your own hand.The hand is an object that has AC 20 and hit points equal to your hit point maximum. If it drops to 0 hit points, the spell ends. It has a Strength of 26 (+8) and a Dexterity o f 10 (+0). The hand doesnt fill its space.W hen you cast the spell and as a bonus action on your subsequent turns, you can move the hand up to 60 feet and then cause one o f the following effects with it.Clenched Fist. The hand strikes one creature or object within 5 feet of it. Make a melee spell attack forthe hand using your game statistics. On a hit, the target takes 4d8 force damage.Forceful Hand. The hand attempts to push a creature within 5 feet of it in a direction you choose. Make a check with the hands Strength contested by the Strength (Athletics) check of the target. If the target is Medium or smaller, you have advantage on the check. If you succeed, the hand pushes the target up to 5 feet plus a number of feet equal to five times your spellcasting ability modifier. The hand m oves with the target to remain within 5 feet of it.Grasping Hand. The hand attempts to grapple a Huge or smaller creature within 5 feet of it. You use the hands Strength score to resolve the grapple. If the target is Medium or smaller, you have advantage on the check. W hile the hand is grappling the target, you can use a bonus action to have the hand crush it. W hen you do so, the target takes bludgeoning damage equal to 2d6 + your spellcasting ability modifier.Interposing Hand. The hand interposes itself between you and a creature you choose until you give the hand a different com m and. The hand m oves to stay between you and the target, providing you with half cover against the target. The target cant move through the hands space if its Strength score is less than or equal to the hands Strength score. If its Strength score is higher than the hands Strength score, the target can move toward you through the hands space, but that space is difficult terrain for the target.At Higher Levels. W hen you cast this spell using a spell slot of 6th level or higher, the damage from the clenched fist option increases by 2d8 and the damage from the grasping hand increases by 2d6 for each slot level above 5th.
Blade Barrier;6;evocation;-; 1  action ;-;90 feet;V,S;-;concentration; up to  10 minutes;You create a vertical wall of whirling, razor-sharp blades You create a vertical wall of whirling, razor-sharp blades made of m agical energy. The wall appears within range and lasts for the duration. You can make a straight wall up to  100 feet long, 20 feet high, and 5 feet thick, or a ringed wall up to 60 feet in diameter, 20 feet high, and5 feet thick. The wall provides three-quarters cover to creatures behind it, and its space is difficult terrain.W hen a creature enters the w alls area for the first time on a turn or starts its turn there, the creature must make a Dexterity saving throw. On a failed save, the creature takes 6 d10 slashing damage. On a successful save, the creature takes half as much damage.
Blade Ward;0;abjuration;-; 1  action ;-;self;V,S;-;1 round;-;You extend your hand and trace a sigil of warding in the air. Until the end of your next turn, you have resistance against bludgeoning, piercing, and slashing damage dealt by weapon attacks.
Bless;1;enchantment;-; 1  action ;-;30 feet;V,S,M;(a sprinkling of holy water;1 minutes;-;You bless up to three creatures of your choice within You bless up to three creatures of your choice within range. W henever a target makes an attack roll or a saving throw before the spell ends, the target can roll a d4 and add the number rolled to the attack roll or saving throw.A t Higher Levels. W hen you cast this spell using a spell slot o f 2nd level or higher, you can target one additional creature for each slot level above  1st.
Blight;4;necromancy;-; 1  action ;-;30 feet;V,S;-;instant;-;Necrom antic energy w ashes over a creature of your Necrom antic energy w ashes over a creature of your choice that you can see within range, draining moisture and vitality from  it. The target must make a Constitution saving throw. The target takes 8d8 necrotic damage on a failed save, or half as much damage on a successful one. This spell has no effect on undead or constructs.If you target a plant creature or a magical plant, it m akes the saving throw with disadvantage, and the spell deals maximum damage to it.If you target a nonm agical plant that isnt a creature, such as a tree or shrub, it doesnt make a saving throw it simply withers and dies.At Higher Levels. W hen you cast this spell using a spell slot o f 5th level or higher, the damage increases by 1d8 for each slot level above 4th.
Blinding Smite;3;evocation;-;1 bonus action;-;self;V;-;1 minutes;-;The next time you hit a creature with a m elee weapon The next time you hit a creature with a m elee weapon attack during this spells duration, your weapon flares with bright light, and the attack deals an extra 3d8 radiant damage to the target. Additionally, the target must succeed on a Constitution saving throw or be blinded until the spell ends.A creature blinded by this spell m akes another Constitution saving throw at the end of each of its turns. On a successful save, it is no longer blinded.
Blindness/Deafness;2;necromancy;-; 1  action ;-;30 feet;V;-;1 minutes;-;You can blind or deafen a foe. C hoose one creature that You can blind or deafen a foe. C hoose one creature that you can see within range to make a Constitution saving throw. If it fails, the target is either blinded or deafened (your choice) for the duration. At the end of each of its turns, the target can make a Constitution saving throw. On a success, the spell ends.At Higher Levels. W hen you cast this spell using a spell slot of 3rd level or higher, you can target one additional creature for each slot level above 2nd.
Blink;3;transmutation;-; 1  action ;-;self;V,S;-;1 minutes;-;Roll a d20 at the end of each of your turns for the Roll a d20 at the end of each of your turns for the duration of the spell. On a roll of 11  or higher, you vanish from  your current plane of existence and appear in the Ethereal Plane (the spell fails and the casting is wasted if you w ere already on that plane). At the start of your next turn, and when the spell ends if you are on the Ethereal Plane, you return to an unoccupied space of your choice that you can see within  10 feet o f the space you vanished from. If no unoccupied space is available within that range, you appear in the nearest unoccupied space (chosen at random if m ore than one space is equally near). You can dismiss this spell as an action.W hile on the Ethereal Plane, you can see and hear the plane you originated from, which is cast in shades of gray, and you cant see anything there m ore than 60 feet away. You can only affect and be affected by other creatures on the Ethereal Plane. Creatures that arent there cant perceive you or interact with you, unless they have the ability to do so.
Blur;2;illusion;-; 1  action ;-;self;V;-;1 minutes;-;Your body becom es blurred, shifting and wavering to Your body becom es blurred, shifting and wavering to all w ho can see you. For the duration, any creature has disadvantage on attack rolls against you. An attacker is immune to this effect if it doesnt rely on sight, as with blindsight, or can see through illusions, as with truesight.
Branding Smite;2;evocation;-;1 bonus action;-;self;V;-;1 minutes;-;The next time you hit a creature with a weapon attack The next time you hit a creature with a weapon attack before this spell ends, the w eapon gleam s with astral radiance as you strike. The attack deals an extra 2d6 radiant damage to the target, which becom es visible if its invisible, and the target sheds dim light in a 5-foot radius and cant becom e invisible until the spell ends.At Higher Levels. W hen you cast this spell using a spell slot of 3rd level or higher, the extra damage increases by 1d6 for each slot level above 2nd.
Burning Hands;1;evocation;-; 1  action ;-;self;V,S;-;instant;-;As you hold your hands with thumbs touching and As you hold your hands with thumbs touching and fingers spread, a thin sheet of flames shoots forth from your outstretched fingertips. Each creature in a  15-foot cone must make a Dexterity saving throw. A creature takes 3d6 fire damage on a failed save, or half as much damage on a successful one.The fire ignites any flammable objects in the area that arent being worn or carried.At Higher Levels. W hen you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above  1st.
